Team,League,Division,Lat,Long
Winnipeg Jets,NHL,Central,49.892778,-97.143611
Ottawa Senators,NHL,Atlantic,45.2969,-75.9268
Washington Capitals,NHL,Metropolitan,38.8982,-77.0209
Seattle Kraken,NHL,Pacific,47.622,-122.354
Los Angeles Kings,NHL,Pacific,34.043056,-118.267222
St. Louis Blues,NHL,Central,38.626667,-90.2025
Flordia Panthers,NHL,Atlantic,26.158333,-80.325556
Arizona Coyotes,NHL,Central,33.5321,-112.2612
Anaheim Ducks,NHL,Pacific,33.807778,-117.876667
Buffalo Sabres,NHL,Atlantic,42.875,-78.876389
Detroit Red Wings,NHL,Atlantic,42.341111,-83.055
New York Rangers,NHL,Metropolitan,40.750556,-73.993611
Columbus Blue Jackets,NHL,Metropolitan,39.969283,-83.006111
Carolina Hurricanes,NHL,Metropolitan,35.803333,-78.721944
Pittsburgh Penguins,NHL,Metropolitan,40.439444,-79.989167
New Jersey Devils,NHL,Metropolitan,40.733611,-74.171111
Vancouver Canucks,NHL,Pacific,49.277778,-123.108889
Edmonton Oilers,NHL,Pacific,53.546944,-113.497778
San Jose Sharks,NHL,Pacific,37.332778,-121.901111
Toronto Maple Leafs,NHL,Atlantic,43.643333,-79.379167
Calgary Flames,NHL,Pacific,51.0374,-114.0519
Boston Bruins,NHL,Atlantic,42.366303,-71.062228
Vegas Golden Knights,NHL,Pacific,36.102778,-115.178333
New York Islanders,NHL,Metropolitan,40.712094,-73.727157
Chicago Blackhawks,NHL,Central,41.880556,-87.674167
Philadeliphia Flyers,NHL,Metropolitan,39.901111,-75.171944
Minnesota Wild,NHL,Central,44.944722,-93.101111
Milwaukee Brewers,MLB,NL Central,43.028333,-87.971111
Los Angeles Angles,MLB,AL West,33.800278,-117.882778
St. Louis Cardinals,MLB,NL Central,38.6225,-90.193056
Arizona Diamondbacks,MLB,NL West,33.445278,-112.066944
New York Mets,MLB,NL East,40.756944,-73.845833
Philadelphia Phillies,MLB,NL East,39.905833,-75.166389
